Detected CPU features: mmx sse sse2 sse3 ssse3 sse4.1 sse4.2 popcnt avx avx2
bpp v4.8.7_macos_x86_64, 128GB RAM, 36 cores
https://github.com/bpp/bpp

Auto-selected SIMD ISA: AVX2


Starting timer..
Seed: 1156397925 (randomly generated)
Parsing species tree... Done
Parsing phylip file... Done

Summary of alignments *before* phasing sequences:
 Locus | Model | Sequences | Length | Ambiguous sites | Compressed | Base freqs 
-------+-------+-----------+--------+-----------------+------------+------------
     1 |  JC69 |         6 |    165 |               9 |          2 |      Fixed 
     2 |  JC69 |        20 |    130 |              57 |          6 |      Fixed 
     3 |  JC69 |        15 |     84 |               2 |          3 |      Fixed 
     4 |  JC69 |         3 |    273 |              61 |         10 |      Fixed 
     5 |  JC69 |         2 |     81 |               0 |          1 |      Fixed 
     6 |  JC69 |        20 |     94 |               2 |          3 |      Fixed 
     7 |  JC69 |        12 |    483 |              14 |          9 |      Fixed 
     8 |  JC69 |        20 |    185 |               4 |          4 |      Fixed 
     9 |  JC69 |         6 |    282 |               4 |          4 |      Fixed 
    10 |  JC69 |         4 |    282 |              11 |          6 |      Fixed 
    11 |  JC69 |        15 |    104 |               1 |          2 |      Fixed 
    12 |  JC69 |        17 |    134 |              16 |          7 |      Fixed 
    13 |  JC69 |        19 |     70 |               3 |          4 |      Fixed 
    14 |  JC69 |        15 |    150 |               5 |          6 |      Fixed 
    15 |  JC69 |        20 |    226 |               5 |          6 |      Fixed 
    16 |  JC69 |        10 |    232 |              10 |          8 |      Fixed 
    17 |  JC69 |        20 |    673 |             322 |         16 |      Fixed 
    18 |  JC69 |        20 |    249 |              84 |          5 |      Fixed 
    19 |  JC69 |         9 |     82 |               3 |          4 |      Fixed 
    20 |  JC69 |         3 |    173 |              13 |          5 |      Fixed 
    21 |  JC69 |         4 |    281 |              10 |          7 |      Fixed 
    22 |  JC69 |         9 |    170 |               0 |          1 |      Fixed 
    23 |  JC69 |         2 |     88 |               0 |          1 |      Fixed 
    24 |  JC69 |        20 |    189 |              39 |          6 |      Fixed 
    25 |  JC69 |         7 |    138 |               5 |          5 |      Fixed 
    26 |  JC69 |        16 |     92 |               0 |          1 |      Fixed 
    27 |  JC69 |         9 |    116 |               7 |          3 |      Fixed 
    28 |  JC69 |        15 |     63 |               1 |          2 |      Fixed 
    29 |  JC69 |        14 |    661 |             661 |         37 |      Fixed 
    30 |  JC69 |        20 |    213 |               3 |          4 |      Fixed 
    31 |  JC69 |        10 |    284 |              26 |         15 |      Fixed 
    32 |  JC69 |        11 |    183 |               3 |          3 |      Fixed 
    33 |  JC69 |        19 |    488 |             219 |         12 |      Fixed 
    34 |  JC69 |        20 |    410 |             188 |         11 |      Fixed 
    35 |  JC69 |         3 |     47 |               2 |          2 |      Fixed 
    36 |  JC69 |         3 |    238 |              17 |          8 |      Fixed 
    37 |  JC69 |        18 |    188 |               3 |          5 |      Fixed 
    38 |  JC69 |         5 |    285 |              27 |          9 |      Fixed 
    39 |  JC69 |        14 |     71 |               2 |          3 |      Fixed 
    40 |  JC69 |         4 |    286 |              15 |          6 |      Fixed 
    41 |  JC69 |        19 |    439 |             133 |         17 |      Fixed 
    42 |  JC69 |        15 |    104 |               6 |          5 |      Fixed 
    43 |  JC69 |         5 |    262 |              21 |         11 |      Fixed 
    44 |  JC69 |        13 |    120 |              14 |          6 |      Fixed 
    45 |  JC69 |        17 |   1174 |             660 |         29 |      Fixed 
    46 |  JC69 |        20 |    188 |               2 |          3 |      Fixed 
    47 |  JC69 |        17 |     66 |               4 |          5 |      Fixed 
    48 |  JC69 |         4 |    279 |              38 |          8 |      Fixed 
    49 |  JC69 |         2 |    277 |              11 |          7 |      Fixed 
    50 |  JC69 |        18 |    399 |              67 |         22 |      Fixed 
    51 |  JC69 |        18 |     84 |              10 |          8 |      Fixed 
    52 |  JC69 |        20 |    214 |               2 |          3 |      Fixed 
    53 |  JC69 |        20 |    117 |               2 |          3 |      Fixed 
    54 |  JC69 |        19 |    148 |              11 |         10 |      Fixed 
    55 |  JC69 |        20 |    121 |               2 |          3 |      Fixed 
    56 |  JC69 |        20 |    178 |              11 |         12 |      Fixed 
    57 |  JC69 |        17 |    120 |              55 |          9 |      Fixed 
    58 |  JC69 |         5 |    278 |               7 |          5 |      Fixed 
    59 |  JC69 |         9 |    497 |             157 |         18 |      Fixed 
    60 |  JC69 |         9 |    282 |              30 |         11 |      Fixed 
    61 |  JC69 |        20 |    323 |               2 |          3 |      Fixed 
    62 |  JC69 |        10 |    496 |              19 |          8 |      Fixed 
    63 |  JC69 |         2 |    130 |              10 |          3 |      Fixed 
    64 |  JC69 |         7 |    434 |             158 |         10 |      Fixed 
    65 |  JC69 |        12 |    286 |              68 |         19 |      Fixed 
    66 |  JC69 |        17 |    237 |             109 |         13 |      Fixed 
    67 |  JC69 |         7 |     95 |               0 |          1 |      Fixed 
    68 |  JC69 |        13 |    265 |              59 |          8 |      Fixed 
    69 |  JC69 |        19 |    561 |             385 |         14 |      Fixed 
    70 |  JC69 |         4 |    247 |               2 |          3 |      Fixed 
    71 |  JC69 |        20 |    304 |              27 |         11 |      Fixed 
    72 |  JC69 |        19 |    251 |              85 |          9 |      Fixed 
    73 |  JC69 |        18 |    251 |              86 |         11 |      Fixed 
    74 |  JC69 |         4 |    272 |               9 |          4 |      Fixed 
    75 |  JC69 |        18 |    370 |              14 |         15 |      Fixed 
    76 |  JC69 |        16 |    108 |               3 |          4 |      Fixed 
    77 |  JC69 |        19 |    253 |               9 |          7 |      Fixed 
    78 |  JC69 |        19 |    291 |              31 |         22 |      Fixed 
    79 |  JC69 |        15 |     96 |               2 |          2 |      Fixed 
    80 |  JC69 |        16 |    369 |             296 |         12 |      Fixed 
    81 |  JC69 |        19 |    132 |               5 |          5 |      Fixed 
    82 |  JC69 |        19 |     79 |               1 |          2 |      Fixed 
    83 |  JC69 |         5 |     89 |               1 |          2 |      Fixed 
    84 |  JC69 |         2 |     80 |               0 |          1 |      Fixed 
    85 |  JC69 |        13 |    269 |              56 |         13 |      Fixed 
    86 |  JC69 |         7 |     48 |               5 |          2 |      Fixed 
    87 |  JC69 |        16 |    463 |             114 |         23 |      Fixed 
    88 |  JC69 |        18 |     51 |               3 |          3 |      Fixed 
    89 |  JC69 |        20 |    115 |               2 |          3 |      Fixed 
    90 |  JC69 |         7 |    210 |               2 |          5 |      Fixed 
    91 |  JC69 |         7 |     61 |               2 |          2 |      Fixed 
    92 |  JC69 |        19 |     73 |               2 |          3 |      Fixed 
    93 |  JC69 |        20 |    347 |              61 |         12 |      Fixed 
    94 |  JC69 |        12 |    479 |              90 |         20 |      Fixed 
    95 |  JC69 |         5 |    145 |               8 |          3 |      Fixed 
    96 |  JC69 |        20 |    148 |               9 |          8 |      Fixed 
    97 |  JC69 |        15 |    114 |               9 |          5 |      Fixed 
    98 |  JC69 |        20 |     64 |               6 |          7 |      Fixed 
    99 |  JC69 |        20 |     98 |               2 |          3 |      Fixed 
   100 |  JC69 |         6 |    283 |             128 |         15 |      Fixed 
   101 |  JC69 |         3 |    281 |             147 |          9 |      Fixed 
   102 |  JC69 |        20 |    163 |              43 |          6 |      Fixed 
   103 |  JC69 |        20 |    154 |               3 |          4 |      Fixed 
   104 |  JC69 |        19 |    123 |               4 |          5 |      Fixed 
   105 |  JC69 |        11 |    550 |              22 |         11 |      Fixed 
   106 |  JC69 |        20 |    104 |               1 |          2 |      Fixed 
   107 |  JC69 |         2 |    155 |               0 |          2 |      Fixed 
   108 |  JC69 |        13 |    165 |               0 |          1 |      Fixed 
   109 |  JC69 |        17 |    161 |              61 |          5 |      Fixed 
   110 |  JC69 |         4 |    226 |               6 |          6 |      Fixed 
   111 |  JC69 |        13 |     43 |               1 |          2 |      Fixed 
   112 |  JC69 |         8 |    280 |               8 |          8 |      Fixed 
   113 |  JC69 |        14 |    200 |              64 |          6 |      Fixed 
   114 |  JC69 |        19 |    921 |             686 |         28 |      Fixed 
   115 |  JC69 |        19 |    598 |             426 |         17 |      Fixed 
   116 |  JC69 |         2 |    286 |               7 |          3 |      Fixed 
   117 |  JC69 |        10 |    557 |             428 |         18 |      Fixed 
   118 |  JC69 |        14 |    532 |             268 |         26 |      Fixed 
   119 |  JC69 |        20 |    233 |               4 |          5 |      Fixed 
   120 |  JC69 |        20 |    219 |              93 |          9 |      Fixed 
   121 |  JC69 |         2 |     94 |               0 |          1 |      Fixed 
   122 |  JC69 |        13 |    153 |              17 |          9 |      Fixed 
   123 |  JC69 |         2 |     57 |               0 |          1 |      Fixed 
   124 |  JC69 |        11 |    284 |               2 |          3 |      Fixed 
   125 |  JC69 |         4 |    206 |               7 |          5 |      Fixed 
