Gen	theta:1:ajan	theta:2:alas	theta:3:R	tau:3:R	W:1->2:ajan->alas	W:2->1:alas->ajan	lnL
20	0.007632	0.010280	0.003426	0.000557	274.062886	1033.539969	-550950.713
40	0.008247	0.010831	0.003374	0.000557	272.405500	1008.865289	-550860.631
60	0.007229	0.010814	0.003515	0.000564	257.733653	952.190958	-550864.324
80	0.007360	0.010514	0.003482	0.000562	277.326500	992.858816	-550961.992
100	0.006911	0.010078	0.003664	0.000523	313.581761	1062.253120	-550997.126
120	0.007312	0.010591	0.003578	0.000525	269.969317	1122.578912	-550863.507
140	0.007869	0.011202	0.003708	0.000513	270.737074	1069.935759	-550847.046
160	0.007645	0.010291	0.003585	0.000506	287.171075	1135.862985	-550867.976
180	0.007460	0.010596	0.003503	0.000515	292.560717	1142.381237	-550808.032
200	0.007200	0.010818	0.003601	0.000510	312.954846	1106.684216	-550911.780
220	0.007047	0.010915	0.003643	0.000506	275.522392	1156.075938	-550882.043
240	0.007025	0.010896	0.003739	0.000510	233.897467	1112.774555	-550883.053
260	0.007147	0.011815	0.003740	0.000514	215.297998	961.490213	-550941.394
280	0.007584	0.011606	0.003542	0.000517	230.888001	920.973383	-550907.546
300	0.007359	0.011723	0.003594	0.000508	244.777804	921.402287	-550873.290
320	0.007477	0.011991	0.003660	0.000492	208.694671	1017.405242	-550988.784
340	0.007153	0.010697	0.003818	0.000478	240.964452	1055.591828	-550869.177
360	0.007469	0.010957	0.003586	0.000471	257.010179	1093.848890	-550904.854
380	0.007248	0.011951	0.003651	0.000502	237.590685	1086.055608	-550836.002
400	0.007449	0.012070	0.003649	0.000493	236.550419	1099.587931	-550891.545
420	0.006996	0.011499	0.003568	0.000466	269.923859	1024.025946	-550848.505
440	0.007881	0.011075	0.003777	0.000466	249.755755	1007.064876	-550945.944
460	0.007640	0.010834	0.003763	0.000467	261.066523	1017.744583	-550786.885
480	0.007819	0.011209	0.003765	0.000500	212.957224	968.388357	-550973.375
500	0.007514	0.011985	0.003737	0.000495	224.326585	1002.168992	-550867.687
520	0.007286	0.011410	0.003530	0.000480	216.653326	963.295637	-550879.002
540	0.007488	0.011416	0.003647	0.000484	230.495180	944.380964	-550898.826
560	0.007994	0.011647	0.003749	0.000484	217.492517	862.864742	-550929.585
580	0.008356	0.011814	0.003654	0.000505	201.907606	866.952936	-550776.330
600	0.008110	0.010531	0.003550	0.000487	237.350423	939.444342	-550957.042
620	0.008282	0.010643	0.003614	0.000500	259.203785	888.773941	-550879.281
640	0.008170	0.010969	0.003756	0.000521	238.055724	862.980849	-550964.440
660	0.008082	0.010917	0.003706	0.000511	256.792435	830.646554	-550910.039
680	0.007545	0.010716	0.003678	0.000484	253.384245	900.228924	-550988.073
700	0.007381	0.011467	0.003650	0.000483	231.944706	894.908292	-551013.209
720	0.007395	0.011283	0.003603	0.000493	226.008757	894.485451	-551054.914
740	0.007651	0.011045	0.003648	0.000481	250.254711	914.613661	-551003.924
760	0.007093	0.011300	0.003715	0.000485	240.100260	994.209386	-550854.723
780	0.007745	0.011639	0.003757	0.000485	237.539076	1056.827805	-550883.594
800	0.007627	0.011153	0.003643	0.000497	260.809144	1001.250021	-551013.728
820	0.007563	0.011513	0.003742	0.000492	247.323311	924.619744	-550914.441
840	0.007224	0.010093	0.003583	0.000483	278.623503	1050.778606	-550816.035
860	0.008465	0.010299	0.003655	0.000529	267.393291	865.376972	-550955.296
880	0.007631	0.010244	0.003640	0.000503	313.813111	1002.342821	-550975.759
900	0.007432	0.011291	0.003703	0.000504	257.456194	1023.204329	-550854.471
920	0.007908	0.010797	0.003519	0.000494	271.005165	1031.042580	-550884.048
940	0.007667	0.010593	0.003763	0.000506	308.668518	964.992644	-550920.430
960	0.007940	0.011040	0.003646	0.000526	279.299509	997.175347	-550921.476
980	0.007454	0.010151	0.003609	0.000511	272.741497	1031.651652	-550818.524
1000	0.007817	0.010998	0.003518	0.000509	267.799832	938.779672	-550849.957
1020	0.007148	0.010012	0.003445	0.000507	238.243565	948.406152	-550827.598
1040	0.007597	0.010238	0.003547	0.000559	238.829927	892.758540	-550909.226
1060	0.007341	0.010441	0.003540	0.000556	297.781666	904.876451	-550856.372
1080	0.007198	0.010287	0.003605	0.000542	285.795292	978.818904	-550820.681
1100	0.007260	0.010456	0.003508	0.000529	274.514805	1014.865759	-550911.551
1120	0.007878	0.011451	0.003581	0.000536	305.144546	1017.824444	-550858.011
1140	0.007314	0.011009	0.003637	0.000535	288.176612	1026.906627	-550839.139
1160	0.007108	0.010689	0.003647	0.000513	351.318979	996.260338	-550801.387
1180	0.007562	0.010534	0.003554	0.000500	320.368383	987.589902	-550931.179
1200	0.007667	0.010662	0.003650	0.000528	324.643978	1028.003524	-550874.681
1220	0.007357	0.010967	0.003462	0.000518	362.434222	1088.392368	-550754.505
1240	0.008328	0.010672	0.003481	0.000528	311.655767	1039.084346	-550934.542
1260	0.008036	0.010974	0.003556	0.000541	314.151432	1024.630719	-551046.705
1280	0.007856	0.010741	0.003593	0.000513	317.444714	1031.250501	-550957.386
1300	0.007062	0.010560	0.003544	0.000499	294.448608	1116.279886	-550808.975
1320	0.007366	0.010464	0.003447	0.000550	298.665632	983.256796	-550930.015
1340	0.007432	0.009878	0.003479	0.000558	318.516028	955.312616	-550763.376
1360	0.007332	0.010496	0.003399	0.000575	354.930827	937.160516	-550954.006
1380	0.007045	0.010599	0.003442	0.000556	357.462151	1031.160087	-550787.040
1400	0.007374	0.010166	0.003544	0.000551	408.340729	1033.234404	-550799.994
1420	0.007277	0.010126	0.003582	0.000536	437.752951	1023.759953	-550782.996
1440	0.007276	0.010307	0.003533	0.000547	454.519748	964.338752	-550784.884
1460	0.007385	0.009747	0.003574	0.000535	487.379314	967.767699	-550884.670
1480	0.007384	0.009550	0.003402	0.000548	439.749142	974.284523	-550901.528
1500	0.007576	0.009341	0.003640	0.000520	535.694863	950.958151	-550741.357
1520	0.007889	0.010071	0.003664	0.000527	521.724472	855.870836	-550800.653
1540	0.008031	0.009756	0.003646	0.000522	616.859116	965.970106	-550846.280
1560	0.007217	0.009538	0.003624	0.000532	613.478055	971.005316	-550866.419
1580	0.006380	0.009884	0.003579	0.000548	646.853502	990.940153	-550617.608
1600	0.006712	0.010105	0.003616	0.000537	674.773772	936.738336	-550774.165
1620	0.007324	0.010144	0.003556	0.000513	648.612631	979.470778	-550861.151
1640	0.006899	0.009704	0.003572	0.000505	629.980876	950.594167	-550743.418
1660	0.007030	0.009852	0.003564	0.000518	670.473622	876.465390	-550759.146
1680	0.007177	0.009929	0.003544	0.000550	633.367458	873.078202	-550886.148
1700	0.007593	0.010839	0.003600	0.000542	625.156779	842.097027	-550886.212
1720	0.007470	0.010081	0.003557	0.000546	688.238829	854.965847	-550825.085
1740	0.007581	0.009407	0.003790	0.000541	685.173008	860.343447	-550887.492
1760	0.007081	0.008743	0.003883	0.000525	691.869133	901.137341	-550752.259
1780	0.007310	0.009501	0.003725	0.000519	637.696589	899.600403	-550724.279
1800	0.007177	0.010386	0.003550	0.000538	627.860206	839.659597	-550945.597
1820	0.006784	0.009719	0.003598	0.000550	594.011594	853.189557	-550742.108
1840	0.007028	0.010413	0.003654	0.000552	602.092356	906.768063	-550904.478
1860	0.007404	0.010201	0.003436	0.000555	666.348895	932.440876	-550964.025
1880	0.007506	0.009399	0.003432	0.000535	660.409217	908.835512	-550911.848
1900	0.007581	0.009573	0.003658	0.000571	607.291201	803.519786	-550827.633
1920	0.007174	0.008900	0.003496	0.000548	586.906381	959.294753	-550900.071
1940	0.007542	0.009923	0.003592	0.000570	608.909887	841.846593	-550853.178
1960	0.007542	0.010007	0.003541	0.000563	572.463362	862.704848	-550896.971
1980	0.007554	0.010374	0.003407	0.000561	584.238348	830.505103	-550915.057
2000	0.006988	0.009519	0.003705	0.000540	587.344540	798.964218	-550857.324
2020	0.007039	0.009804	0.003553	0.000549	634.236330	746.590838	-550833.144
2040	0.007139	0.010873	0.003519	0.000545	659.940305	821.559046	-550960.804
2060	0.006770	0.010629	0.003531	0.000544	682.252096	831.187404	-550948.278
2080	0.007403	0.009942	0.003475	0.000546	684.148067	855.838737	-550827.976
2100	0.007537	0.010901	0.003547	0.000549	664.414861	865.006178	-550898.631
2120	0.007260	0.009811	0.003557	0.000528	745.660968	896.733045	-550808.851
2140	0.007522	0.009598	0.003616	0.000509	712.938683	931.026115	-550898.757
2160	0.007645	0.010331	0.003682	0.000510	696.947684	888.456638	-551024.873
2180	0.007651	0.009920	0.003547	0.000525	688.366637	932.551051	-550847.783
2200	0.007588	0.009804	0.003593	0.000506	724.580211	897.596962	-550867.840
2220	0.007449	0.010205	0.003784	0.000507	800.606268	937.509969	-550861.432
2240	0.007586	0.010514	0.003558	0.000516	739.057934	886.941028	-550825.342
2260	0.007176	0.010343	0.003564	0.000516	742.453342	886.786086	-550839.394
2280	0.007434	0.010217	0.003550	0.000532	698.532261	903.891037	-550883.643
2300	0.007033	0.009452	0.003691	0.000545	686.591214	933.293304	-550705.734
2320	0.007153	0.009183	0.003645	0.000526	769.028477	1004.824575	-550898.379
2340	0.007530	0.009705	0.003701	0.000561	711.311307	921.079076	-550957.005
2360	0.007233	0.009654	0.003631	0.000568	648.915232	912.414533	-550791.855
2380	0.007834	0.009280	0.003616	0.000556	639.960941	991.816428	-550955.732
2400	0.007014	0.008958	0.003331	0.000550	702.533097	1039.727320	-550785.583
2420	0.007065	0.009160	0.003622	0.000580	610.536089	1048.708027	-550808.250
2440	0.006939	0.009267	0.003591	0.000596	607.079901	954.266533	-550790.662
2460	0.006749	0.009467	0.003366	0.000600	584.437418	925.186593	-550888.326
2480	0.007257	0.009682	0.003450	0.000612	623.568630	848.954312	-550819.686
2500	0.006995	0.009046	0.003521	0.000562	678.318724	949.652001	-550743.756
2520	0.007119	0.009745	0.003388	0.000589	633.540452	914.365741	-551031.825
2540	0.007323	0.009830	0.003415	0.000600	658.328161	937.190984	-550867.859
2560	0.007416	0.009449	0.003426	0.000596	645.080281	961.238100	-551026.239
2580	0.006905	0.010217	0.003499	0.000571	657.928992	963.593485	-551002.592
2600	0.007195	0.010259	0.003362	0.000581	577.317561	965.344488	-550953.844
2620	0.007000	0.009783	0.003340	0.000569	648.292188	949.023433	-550903.650
2640	0.007096	0.009299	0.003549	0.000558	595.647122	1053.518138	-550808.236
2660	0.007452	0.009320	0.003551	0.000557	592.838944	1000.388992	-550977.715
2680	0.007500	0.009252	0.003549	0.000573	601.297672	978.467180	-550875.399
2700	0.007538	0.009800	0.003623	0.000578	585.323058	1004.941632	-550894.579
2720	0.007244	0.009078	0.003432	0.000558	651.019536	1121.980175	-550918.494
2740	0.007972	0.008617	0.003339	0.000573	549.206656	1017.089352	-550875.667
2760	0.008103	0.008764	0.003360	0.000579	587.998143	982.709619	-550953.250
2780	0.007241	0.009674	0.003554	0.000576	590.731006	1031.178012	-551024.410
2800	0.007284	0.009418	0.003375	0.000578	629.269263	1073.725978	-550828.888
2820	0.006888	0.009329	0.003435	0.000578	570.165310	1130.121311	-550774.456
2840	0.006939	0.009728	0.003469	0.000595	501.617735	1109.086615	-550776.528
2860	0.007075	0.009468	0.003477	0.000591	477.912220	1093.877118	-550906.254
2880	0.006576	0.009196	0.003593	0.000598	445.770027	1106.081291	-550854.218
2900	0.006353	0.009552	0.003593	0.000590	504.456580	1128.378852	-550904.060
2920	0.006382	0.009555	0.003356	0.000569	464.386166	1138.485038	-550843.216
2940	0.007091	0.010143	0.003512	0.000593	450.923254	1024.765202	-550854.789
2960	0.007290	0.010255	0.003549	0.000559	493.371999	1039.953418	-550967.110
2980	0.006979	0.010294	0.003571	0.000560	529.056399	1011.765636	-550878.635
3000	0.006847	0.010738	0.003541	0.000543	555.946962	1000.150649	-550895.401
3020	0.007729	0.010250	0.003506	0.000555	579.156481	1115.469829	-551002.605
3040	0.007453	0.010917	0.003608	0.000549	553.605130	1045.579057	-550952.959
3060	0.007126	0.010765	0.003796	0.000513	522.877760	1096.362630	-550974.893
3080	0.007363	0.010555	0.003676	0.000524	516.043323	1071.205668	-550856.475
3100	0.006853	0.011020	0.003656	0.000538	536.905358	987.484579	-550850.015
3120	0.006908	0.010967	0.003572	0.000532	482.619333	976.226175	-550813.047
3140	0.006567	0.010751	0.003631	0.000539	510.170554	1027.069826	-550889.492
3160	0.006324	0.010158	0.003577	0.000545	471.343560	974.561541	-550857.160
3180	0.006723	0.010137	0.003702	0.000542	483.367902	1097.594926	-550766.913
3200	0.006978	0.010116	0.003675	0.000543	511.681228	1070.469919	-550923.105
3220	0.007512	0.009865	0.003431	0.000562	495.849322	1058.795764	-550782.418
3240	0.007263	0.009907	0.003471	0.000546	432.900910	1162.354318	-550832.411
3260	0.006712	0.010004	0.003446	0.000560	429.041996	1094.606830	-550899.430
3280	0.006692	0.010319	0.003540	0.000589	345.925754	1060.171446	-550887.265
3300	0.007181	0.010498	0.003670	0.000582	369.329197	1178.536736	-550810.471
3320	0.007808	0.010280	0.003616	0.000587	389.557402	1156.157244	-550926.869
3340	0.006553	0.009672	0.003462	0.000557	432.788179	1163.608111	-550970.577
3360	0.006319	0.010076	0.003540	0.000556	413.036071	1375.521998	-550836.242
3380	0.006583	0.010942	0.003579	0.000603	403.706189	1196.636659	-550840.208
3400	0.006218	0.011195	0.003450	0.000597	386.215754	1304.067675	-551041.146
3420	0.006445	0.010942	0.003383	0.000603	383.179534	1270.150820	-550926.279
3440	0.005573	0.010245	0.003460	0.000575	403.351567	1373.640253	-550926.240
3460	0.005764	0.010779	0.003581	0.000584	444.897715	1334.523040	-550983.448
3480	0.006575	0.010196	0.003451	0.000560	475.902368	1398.660604	-550895.974
3500	0.006725	0.010331	0.003611	0.000569	470.317914	1313.849429	-551056.657
3520	0.006161	0.009979	0.003524	0.000572	467.258044	1386.613432	-550904.346
3540	0.006839	0.009944	0.003431	0.000576	452.495090	1347.974283	-550779.649
3560	0.008198	0.009965	0.003412	0.000597	475.332970	1238.021858	-550931.534
3580	0.007343	0.009932	0.003470	0.000604	427.665939	1262.549049	-550878.624
3600	0.007057	0.009233	0.003584	0.000553	445.980584	1411.368170	-550840.396
3620	0.007045	0.009486	0.003667	0.000568	435.503834	1309.946136	-550917.206
3640	0.006490	0.010643	0.003605	0.000557	466.391194	1379.651413	-550802.911
3660	0.006552	0.010955	0.003622	0.000572	424.072240	1299.662682	-550923.937
3680	0.006185	0.010763	0.003442	0.000560	400.133634	1344.774017	-550821.968
3700	0.006410	0.010907	0.003494	0.000598	341.329413	1239.573006	-550919.806
3720	0.006342	0.010460	0.003457	0.000588	358.285644	1283.762294	-550926.328
3740	0.006838	0.010369	0.003498	0.000587	380.884455	1304.418062	-550785.233
3760	0.006532	0.010488	0.003248	0.000594	408.511205	1335.597634	-550893.117
3780	0.006318	0.010650	0.003298	0.000592	374.710462	1331.327358	-550931.247
3800	0.006554	0.009676	0.003601	0.000583	372.697430	1428.999417	-550830.176
3820	0.006320	0.010449	0.003510	0.000590	372.693989	1408.966187	-550857.795
3840	0.006295	0.010329	0.003415	0.000604	378.690549	1431.209887	-550785.261
3860	0.006118	0.010037	0.003451	0.000563	375.827944	1499.720988	-550900.525
3880	0.006690	0.009787	0.003295	0.000581	365.369895	1285.593006	-550902.766
3900	0.006865	0.010704	0.003318	0.000573	357.842993	1320.312001	-550909.112
3920	0.006538	0.010876	0.003416	0.000566	360.410458	1303.563454	-550901.449
3940	0.006364	0.011014	0.003494	0.000562	368.920251	1272.769175	-550887.972
3960	0.006184	0.010839	0.003418	0.000564	360.113232	1322.488160	-550763.201
3980	0.006793	0.011495	0.003509	0.000564	369.649238	1295.575654	-550898.038
4000	0.006307	0.010320	0.003650	0.000526	376.945996	1379.111805	-550923.766
4020	0.007016	0.010450	0.003606	0.000562	351.107141	1239.588034	-550814.591
4040	0.006791	0.009469	0.003600	0.000543	378.436167	1182.451624	-550776.870
4060	0.007649	0.009522	0.003571	0.000555	355.628765	1178.363367	-550925.146
4080	0.007805	0.009304	0.003516	0.000580	330.012872	1096.066232	-550799.388
4100	0.006701	0.009660	0.003541	0.000547	364.585124	1130.881746	-550826.690
4120	0.007056	0.010140	0.003473	0.000554	404.840532	1107.392675	-550888.461
4140	0.007683	0.010256	0.003468	0.000561	375.793568	1137.959013	-550961.474
4160	0.006867	0.010116	0.003596	0.000556	387.501212	1130.099746	-550837.984
4180	0.006441	0.010279	0.003534	0.000561	367.912863	1083.050841	-550860.994
4200	0.006462	0.010617	0.003638	0.000561	371.967435	1122.993422	-550897.807
4220	0.006562	0.011395	0.003628	0.000546	366.506184	1287.444516	-550922.202
4240	0.006193	0.011796	0.003578	0.000559	342.743121	1155.113260	-550928.569
4260	0.006548	0.011595	0.003565	0.000552	386.705493	1206.512535	-550898.859
4280	0.006097	0.010875	0.003520	0.000529	407.791155	1232.682970	-550811.874
4300	0.006159	0.010648	0.003485	0.000535	408.138087	1218.533836	-550818.225
