Gen	theta:1_a1:ajan_a1	theta:1_b1:ajan_b1	theta:2_a1:alas_a1	theta:2_b1:alas_b1	theta:3_a1:R_a1	theta:3_b1:R_b1	W:1->2_a1:ajan->alas_a1	W:1->2_b1:ajan->alas_b1	W:2->1_a1:alas->ajan_a1	W:2->1_b1:alas->ajan_b1
20	9519.0	83.88912	5182.1	52.31408	16652.6	54.83885	10489.0	5.36	4785.0	7.24
40	9551.8	81.65116	5493.5	51.82559	16307.7	54.80573	10415.0	5.35	4881.0	7.17
60	9386.6	77.21449	5365.0	53.85958	16601.7	55.07206	10034.0	5.37	4811.0	6.84
80	9490.8	80.34853	5208.4	54.93817	16654.6	55.13653	10152.0	5.49	4657.0	7.10
100	9971.2	77.72909	4814.0	54.10366	16568.8	57.11942	10461.0	5.39	4718.0	6.91
120	9313.6	77.24045	5426.7	52.36904	16612.8	58.60989	10273.0	5.30	5272.0	6.80
140	9170.9	78.87796	5240.1	53.10636	16942.8	58.47311	10544.0	5.31	5254.0	6.86
160	9583.4	76.75679	5140.5	54.82892	16629.7	55.99253	10359.0	5.45	5158.0	6.80
180	9595.0	71.74927	5371.3	55.42888	16386.7	55.62035	10156.0	5.47	5422.0	6.58
200	9383.7	78.04625	5532.2	56.74185	16437.8	56.94356	10444.0	5.67	5545.0	7.05
220	9022.0	79.16389	5477.2	56.00331	16854.6	55.30284	10304.0	5.60	5569.0	7.01
240	8631.6	81.97492	5587.9	55.08546	17134.6	56.39667	10243.0	5.49	5447.0	7.10
260	8936.0	78.48359	5585.9	55.19777	16831.7	56.00326	10023.0	5.47	5403.0	6.89
280	9200.8	77.81640	5404.6	58.42850	16748.6	53.94593	10352.0	5.75	5605.0	7.00
300	8991.0	79.08532	5527.2	56.68345	16835.7	56.19556	10354.0	5.61	5694.0	7.01
320	9265.5	75.86161	5625.2	57.59275	16462.6	53.19092	10159.0	5.68	5631.0	6.91
340	9231.6	76.53199	5279.2	54.15075	16842.6	55.74812	10245.0	5.39	5325.0	6.80
360	9864.1	75.77523	5149.7	56.31610	16339.8	56.33238	10117.0	5.57	4897.0	6.88
380	9527.3	75.19812	5055.0	56.70977	16771.7	56.21534	10356.0	5.51	5251.0	6.72
400	9325.6	77.08517	5238.0	52.13710	16789.7	56.03192	10471.0	5.21	5154.0	6.73
420	8946.4	82.51558	5529.8	54.01890	16877.7	57.83588	10347.0	5.43	5330.0	7.12
440	8952.1	79.25808	5586.4	51.79784	16814.8	58.46115	10091.0	5.25	5071.0	6.91
460	9338.5	75.70204	5425.9	53.29642	16588.8	58.63912	10016.0	5.31	5007.0	6.72
480	8883.2	79.94407	5166.7	56.51177	17304.6	55.86956	10011.0	5.50	4967.0	6.94
500	9145.8	77.28101	4851.3	56.47406	17357.7	59.04276	10211.0	5.46	5142.0	6.77
520	9190.3	72.71555	5411.4	57.08523	16751.9	60.93613	9766.0	5.54	5119.0	6.62
540	9206.1	69.99704	5250.5	55.95127	16896.8	59.12637	9947.0	5.38	5270.0	6.35
560	8896.5	72.05866	5134.8	56.67397	17322.7	59.44960	10057.0	5.39	5459.0	6.40
580	8807.4	70.41408	5409.8	59.79896	17136.7	57.82437	10078.0	5.66	6042.0	6.43
600	8294.7	69.23154	5492.6	58.87086	17566.7	59.89086	9731.0	5.51	5988.0	6.27
620	8932.3	70.73267	5476.4	57.39320	16944.7	56.47812	9455.0	5.53	5221.0	6.46
640	8576.2	66.01163	5665.8	62.24670	17111.6	55.97284	9132.0	5.76	5849.0	6.21
660	8670.9	63.62322	5448.1	61.71357	17234.7	59.11941	9132.0	5.65	5719.0	6.00
680	8480.1	64.39313	5556.8	61.29558	17316.8	60.02649	9271.0	5.65	5887.0	6.05
700	8647.0	65.19775	5401.1	61.77367	17305.8	59.81849	9403.0	5.68	5854.0	6.11
720	7887.4	63.22972	5837.7	63.38748	17628.7	60.12276	8964.0	5.75	6283.0	5.94
740	7938.5	64.45468	5511.5	65.70436	17904.8	62.47467	9347.0	5.88	6537.0	6.04
760	7975.1	61.26302	5554.6	66.97530	17824.8	62.72166	9127.0	5.91	6665.0	5.86
780	8029.1	61.35679	5742.5	68.56269	17582.7	60.39350	8865.0	6.03	6587.0	5.91
800	8435.8	61.38234	5791.0	64.88121	17126.7	57.38949	9036.0	5.87	6345.0	5.93
820	8432.6	58.92675	5666.5	67.34856	17254.7	58.93443	8768.0	5.98	6261.0	5.80
840	8514.3	56.44467	5779.2	66.37454	17059.8	59.09135	8783.0	5.87	6317.0	5.65
860	8569.4	57.84886	6022.6	64.65196	16760.9	61.17662	8324.0	5.85	5919.0	5.74
880	8246.8	60.02882	5985.9	66.48623	17120.8	59.65433	8431.0	5.95	6061.0	5.87
900	7960.4	63.25478	5868.1	66.56989	17525.8	61.12809	8389.0	6.02	5950.0	6.06
920	7851.3	61.47484	6014.5	63.85483	17487.7	59.84549	8267.0	5.76	5921.0	5.85
940	7673.4	61.10924	5577.4	65.39713	18103.8	62.58379	8323.0	5.73	5898.0	5.76
960	7832.2	60.44206	5747.4	67.43632	17774.9	63.76182	8104.0	5.92	5836.0	5.80
980	7587.3	60.24323	5971.9	66.83321	17794.7	60.77403	8054.0	5.88	6040.0	5.77
1000	7766.4	61.91036	5965.2	68.95415	17622.8	62.16061	8094.0	6.07	6038.0	5.95
1020	7977.0	59.76107	5708.2	65.39736	17668.8	60.95159	8428.0	5.80	6066.0	5.76
1040	7877.2	60.81733	5787.1	65.59534	17689.8	61.33813	8664.0	5.83	6467.0	5.79
1060	7872.4	62.64292	5979.3	62.13970	17501.9	63.23271	8805.0	5.66	6189.0	5.92
