chromosome,configuration,focal_population,tau_R,n_gene_trees,n_focal_pair_first,n_focal_pair_first_before_tau,gdi
ch1,aab,ajan,5.0758784e-4,1000000,380773,92241,0.092241
ch1,abb,alas,5.0758784e-4,1000000,379953,90675,0.090675
ch2,aab,ajan,7.5964238e-4,1000000,419157,177531,0.177531
ch2,abb,alas,7.5964238e-4,1000000,404548,156679,0.156679
ch3,aab,ajan,6.3712126e-4,1000000,389418,122087,0.122087
ch3,abb,alas,6.3712126e-4,1000000,378934,106686,0.106686
ch4,aab,ajan,5.6236228e-4,1000000,376538,95444,0.095444
ch4,abb,alas,5.6236228e-4,1000000,370142,87000,0.087
ch5,aab,ajan,5.729294e-4,1000000,388465,119145,0.119145
ch5,abb,alas,5.729294e-4,1000000,374567,98593,0.098593
ch6,aab,ajan,5.1674482e-4,1000000,366263,84887,0.084887
ch6,abb,alas,5.1674482e-4,1000000,351803,63114,0.063114
ch7,aab,ajan,6.2057358e-4,1000000,405279,135223,0.135223
ch7,abb,alas,6.2057358e-4,1000000,392445,116827,0.116827
ch8,aab,ajan,4.889371e-4,1000000,374087,84814,0.084814
ch8,abb,alas,4.889371e-4,1000000,362961,69723,0.069723
ch9,aab,ajan,6.0249078e-4,1000000,408123,144131,0.144131
ch9,abb,alas,6.0249078e-4,1000000,379649,103827,0.103827
