chromosome,comparison,configuration,focal_population,tau_node,tau,n_gene_trees,n_focal_pair_first,n_focal_pair_first_before_tau,gdi
ch1,intg_N_vs_CA,aab,intg_nGL_Nslope,IIH,4.5e-4,1000000,565288,373342,0.373342
ch1,intg_N_vs_CA,abb,intg_CAswGL,IIH,4.5e-4,1000000,605578,434178,0.434178
ch1,CA_vs_hook,aab,intg_CAswGL,IH,4e-4,1000000,605064,417971,0.417971
ch1,CA_vs_hook,abb,hook,IH,4e-4,1000000,617091,434444,0.434444
ch2,intg_N_vs_CA,aab,intg_nGL_Nslope,IIH,5.4e-4,1000000,571185,394494,0.394494
ch2,intg_N_vs_CA,abb,intg_CAswGL,IIH,5.4e-4,1000000,635793,485144,0.485144
ch2,CA_vs_hook,aab,intg_CAswGL,IH,5e-4,1000000,649541,484770,0.48477
ch2,CA_vs_hook,abb,hook,IH,5e-4,1000000,691562,547858,0.547858
ch3,intg_N_vs_CA,aab,intg_nGL_Nslope,IIH,4.7e-4,1000000,569925,379872,0.379872
ch3,intg_N_vs_CA,abb,intg_CAswGL,IIH,4.7e-4,1000000,590212,410293,0.410293
ch3,CA_vs_hook,aab,intg_CAswGL,IH,3.9e-4,1000000,583732,383569,0.383569
ch3,CA_vs_hook,abb,hook,IH,3.9e-4,1000000,587881,384380,0.38438
ch4,intg_N_vs_CA,aab,intg_nGL_Nslope,IIH,4.5e-4,1000000,516168,287381,0.287381
ch4,intg_N_vs_CA,abb,intg_CAswGL,IIH,4.5e-4,1000000,603202,414942,0.414942
ch4,CA_vs_hook,aab,intg_CAswGL,IH,3.8e-4,1000000,586568,385119,0.385119
ch4,CA_vs_hook,abb,hook,IH,3.8e-4,1000000,627832,446252,0.446252
ch5,intg_N_vs_CA,aab,intg_nGL_Nslope,IIH,4.1e-4,1000000,561193,361137,0.361137
ch5,intg_N_vs_CA,abb,intg_CAswGL,IIH,4.1e-4,1000000,624349,454985,0.454985
ch5,CA_vs_hook,aab,intg_CAswGL,IH,3.4e-4,1000000,610848,421835,0.421835
ch5,CA_vs_hook,abb,hook,IH,3.4e-4,1000000,615056,424200,0.4242
ch6,intg_N_vs_CA,aab,intg_nGL_Nslope,IIH,4.3e-4,1000000,530926,313316,0.313316
ch6,intg_N_vs_CA,abb,intg_CAswGL,IIH,4.3e-4,1000000,586339,394181,0.394181
ch6,CA_vs_hook,aab,intg_CAswGL,IH,3.5e-4,1000000,581754,377659,0.377659
ch6,CA_vs_hook,abb,hook,IH,3.5e-4,1000000,628321,445235,0.445235
ch7,intg_N_vs_CA,aab,intg_nGL_Nslope,IIH,5.7e-4,1000000,612983,447611,0.447611
ch7,intg_N_vs_CA,abb,intg_CAswGL,IIH,5.7e-4,1000000,608840,445598,0.445598
ch7,CA_vs_hook,aab,intg_CAswGL,IH,4e-4,1000000,589527,393388,0.393388
ch7,CA_vs_hook,abb,hook,IH,4e-4,1000000,607613,408209,0.408209
ch8,intg_N_vs_CA,aab,intg_nGL_Nslope,IIH,3.4e-4,1000000,573561,370030,0.37003
ch8,intg_N_vs_CA,abb,intg_CAswGL,IIH,3.4e-4,1000000,560793,350122,0.350122
ch8,CA_vs_hook,aab,intg_CAswGL,IH,3e-4,1000000,555654,336309,0.336309
ch8,CA_vs_hook,abb,hook,IH,3e-4,1000000,624297,439030,0.43903
ch9,intg_N_vs_CA,aab,intg_nGL_Nslope,IIH,4.1e-4,1000000,509869,280776,0.280776
ch9,intg_N_vs_CA,abb,intg_CAswGL,IIH,4.1e-4,1000000,640214,473207,0.473207
ch9,CA_vs_hook,aab,intg_CAswGL,IH,3.4e-4,1000000,628657,449772,0.449772
ch9,CA_vs_hook,abb,hook,IH,3.4e-4,1000000,615526,428976,0.428976
