chromosome,comparison,configuration,focal_population,tau_node,tau,n_gene_trees,n_focal_pair_first,n_focal_pair_first_before_tau,gdi
ch1,octo_EU_vs_MK,aab,octo_EU,Octo,4.2e-4,1000000,631786,466934,0.466934
ch1,octo_EU_vs_MK,abb,octo_Carp_MK,Octo,4.2e-4,1000000,567289,329695,0.329695
ch1,Pu_vs_RUSJ,aab,Pu,Punc,4e-4,1000000,432511,124530,0.12453
ch1,Pu_vs_RUSJ,abb,RU_SJ,Punc,4e-4,1000000,539896,320724,0.320724
ch2,octo_EU_vs_MK,aab,octo_EU,Octo,4.4e-4,1000000,659777,512774,0.512774
ch2,octo_EU_vs_MK,abb,octo_Carp_MK,Octo,4.4e-4,1000000,607535,387694,0.387694
ch2,Pu_vs_RUSJ,aab,Pu,Punc,4e-4,1000000,435000,139128,0.139128
ch2,Pu_vs_RUSJ,abb,RU_SJ,Punc,4e-4,1000000,553604,339731,0.339731
ch3,octo_EU_vs_MK,aab,octo_EU,Octo,4.2e-4,1000000,632835,464091,0.464091
ch3,octo_EU_vs_MK,abb,octo_Carp_MK,Octo,4.2e-4,1000000,569884,340997,0.340997
ch3,Pu_vs_RUSJ,aab,Pu,Punc,4e-4,1000000,421414,120164,0.12016400000000001
ch3,Pu_vs_RUSJ,abb,RU_SJ,Punc,4e-4,1000000,586358,383794,0.383794
ch4,octo_EU_vs_MK,aab,octo_EU,Octo,4e-4,1000000,612517,434440,0.43444
ch4,octo_EU_vs_MK,abb,octo_Carp_MK,Octo,4e-4,1000000,550465,308603,0.308603
ch4,Pu_vs_RUSJ,aab,Pu,Punc,3.8e-4,1000000,458643,171168,0.171168
ch4,Pu_vs_RUSJ,abb,RU_SJ,Punc,3.8e-4,1000000,550733,337102,0.337102
ch5,octo_EU_vs_MK,aab,octo_EU,Octo,4.1e-4,1000000,656498,509439,0.509439
ch5,octo_EU_vs_MK,abb,octo_Carp_MK,Octo,4.1e-4,1000000,569910,328512,0.328512
ch5,Pu_vs_RUSJ,aab,Pu,Punc,3.9e-4,1000000,435203,132898,0.132898
ch5,Pu_vs_RUSJ,abb,RU_SJ,Punc,3.9e-4,1000000,559634,351140,0.35114
ch6,octo_EU_vs_MK,aab,octo_EU,Octo,4.9e-4,1000000,643673,489779,0.489779
ch6,octo_EU_vs_MK,abb,octo_Carp_MK,Octo,4.9e-4,1000000,615647,399980,0.39998
ch6,Pu_vs_RUSJ,aab,Pu,Punc,4.7e-4,1000000,456248,160950,0.16095
ch6,Pu_vs_RUSJ,abb,RU_SJ,Punc,4.7e-4,1000000,543909,321811,0.321811
ch7,octo_EU_vs_MK,aab,octo_EU,Octo,4.5e-4,1000000,654879,498052,0.498052
ch7,octo_EU_vs_MK,abb,octo_Carp_MK,Octo,4.5e-4,1000000,542259,296535,0.296535
ch7,Pu_vs_RUSJ,aab,Pu,Punc,4.3e-4,1000000,446904,150309,0.150309
ch7,Pu_vs_RUSJ,abb,RU_SJ,Punc,4.3e-4,1000000,516272,283590,0.28359
ch8,octo_EU_vs_MK,aab,octo_EU,Octo,4.1e-4,1000000,689005,547238,0.547238
ch8,octo_EU_vs_MK,abb,octo_Carp_MK,Octo,4.1e-4,1000000,580406,355900,0.3559
ch8,Pu_vs_RUSJ,aab,Pu,Punc,3.7e-4,1000000,459875,181463,0.181463
ch8,Pu_vs_RUSJ,abb,RU_SJ,Punc,3.7e-4,1000000,541388,318158,0.318158
ch9,octo_EU_vs_MK,aab,octo_EU,Octo,4.4e-4,1000000,671131,519895,0.519895
ch9,octo_EU_vs_MK,abb,octo_Carp_MK,Octo,4.4e-4,1000000,604069,393615,0.393615
ch9,Pu_vs_RUSJ,aab,Pu,Punc,4.2e-4,1000000,459849,167109,0.167109
ch9,Pu_vs_RUSJ,abb,RU_SJ,Punc,4.2e-4,1000000,556539,348330,0.34833
